 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11951201;"20 a tocar";"";"1";"0";"";"";"2023-03-25 00:00:00.0";"2023-03-25 23:59:00.0";"12:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5903a0a88d6b6810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5af9053c8718e210VgnVCM1000000b205a0aRCRD";"Parque Olof Palme";"2";"CALLE";"CERECINOS";"1";"USERA";"ZOFIO";"28026";"439486";"4470667";"40.38439900273861";"-3.7129519968429445";"/contenido/actividades/Musica";"";
11942368;"3 cromosomas de Janira León";"";"1";"0";"";"";"2023-03-31 00:00:00.0";"2023-03-31 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e7818cc5c9e76810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo)";"1,6";"AVENIDA";"MONFORTE DE LEMOS";"38";"FUENCARRAL-EL PARDO";"EL PILAR";"28029";"439867";"4481122";"40.47860087334554";"-3.7094408342979954";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"/usuario/Niños";
11958859;"4 patas tiene un cuento";"";"1";"0";"";"";"2023-04-15 00:00:00.0";"2023-04-15 23:59:00.0";"12:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c131287e96fd6810VgnVCM2000001f4a900aRCRD";"Caperucita Roja";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=551ae0edbf72d710VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Casa de Vacas (Retiro)";"1";"PASEO";"COLOMBIA";"1";"RETIRO";"LOS JERONIMOS";"28009";"441967";"4474495";"40.41906024374356";"-3.6840615387926956";"/contenido/actividades/TeatroPerformance";"/usuario/Niños";
11932870;"5 Historias";"";"1";"0";"";"";"2023-03-24 00:00:00.0";"2023-03-24 23:59:00.0";"19:00";"MAGIA MONFORT  Dispuestos a entrar en la caótica mente de Guillermo Monfort, los espectadores podrán ser testigos de cinco de sus mejores y más sorprendentes ilusiones. El público podrá ser testigo de varios efectos de las diferentes disciplinas de la magia que este artista domina: desde la mejor amiga del mago, la baraja de cartas, pasando por el misterioso mentalismo e incluso poniendo en riesgo su integridad al realizar algún efecto.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd2e286a42b56810VgnVCM1000001d4a900aRCRD";"Actividades en el Centro Cultural el Madroño";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=63fd7ba8c0950710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=57b63d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural el Madroño (Vicálvaro)";"1";"CALLE";"VILLARDONDIEGO";"36";"VICALVARO";"CASCO H.VICALVARO";"28032";"448357";"4472920";"40.405292721436055";"-3.6086161200017157";"/contenido/actividades/Musica";"";
11948971;"58 Premio Reina Sofía.";"";"1";"1";"L,M,X,J,V,S,D";"";"2023-03-01 00:00:00.0";"2023-03-26 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=708d0860ec6a6810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Casa de Vacas (Retiro)";"1";"PASEO";"COLOMBIA";"1";"RETIRO";"LOS JERONIMOS";"28009";"441967";"4474495";"40.41906024374356";"-3.6840615387926956";"";"";
11942319;"8M en red: quién es quién en los Espacios de Igualdad";"";"1";"0";"";"";"2023-03-30 00:00:00.0";"2023-03-30 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bab8d537b1f76810VgnVCM1000001d4a900aRCRD";"8M en red: quién es quién en los Espacios de Igualdad";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4ce866ca1623f710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=306b89e2c9e5d010VgnVCM1000000b205a0aRCRD";"Espacio de Igualdad María Zambrano. Chamberí";"1";"CALLE";"ANDRES MELLADO";"44";"CHAMBERI";"GAZTAMBIDE";"28015";"439412";"4476170";"40.433958260960964";"-3.7143358486689415";"";"";
11913908;"Abriendo el corazón: amor, compasión";"";"1";"0";"";"";"2023-04-29 00:00:00.0";"2023-04-29 23:59:00.0";"12:00";"Sexta conferencia del ciclo 'Una cita con el corazón: Cómo cultivar la paz interior', con Luis Castellanos. Acceso libre hasta completar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=78ba2ba513806810VgnVCM1000001d4a900aRCRD";"Ciclo 'Una cita con el corazón: cómo cultiva la paz interior'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2eeb02f785306810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro)";"1,6";"PASEO";"FERNÁN NÚÑEZ";"24";"RETIRO";"LOS JERONIMOS";"28009";"442345";"4474221";"40.4166091081099";"-3.6795930368034804";"/contenido/actividades/ConferenciasColoquios";"";
11956706;"África y España II: de la Edad Media al siglo XIX";"";"1";"0";"";"";"2023-04-12 00:00:00.0";"2023-04-12 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bf337eccf5bc6810VgnVCM2000001f4a900aRCRD";"África y España II: de la Edad Media al siglo XIX";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=14eb7eccf5bc6810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Zazuar (Villa de Vallecas)";"1";"CALLE";"ZAZUAR";"4";"VILLA DE VALLECAS";"SANTA EUGENIA";"28031";"448550";"4470424";"40.38281899948726";"-3.606140062044455";"/contenido/actividades/ConferenciasColoquios";"";
11934599;"Ágora Joven Junior";"";"0";"1";"L,M,X,J";"";"2023-04-03 00:00:00.0";"2023-04-06 23:59:00.0";"";"Ágora Joven es hacer de un teatro público un espacio de encuentro para jóvenes, creadores y espectadores. Un espacio donde sembrar iniciativas y cosechar proyectos, donde escuchar y ser escuchados. Punto de encuentro para ciudadanos con inquietudes más allá del mundo de la actuación; donde desarrollar un criterio propio e impulsar ideas.  A través de la programación del teatro Fernán Gómez. Centro Cultural de la Villa, los participantes reflexionan sobre el tejido teatral actual, proporcionándoles herramientas para profundizar en los contenidos, estudian la historia de las compañías que forman parte de la temporada y se presentan a los diferentes artistas. Descubren los departamentos que constituyen un teatro y a las personas que lo hacen posible.    Detalle del programa:     Sesión 1: Tras teatro - presentaciones - visita al teatro. Sesión 2: Combate dialéctico a partir de los temas propuesto por la programación del FG.CCV. Sesión 3: Entra en escena ? Improvisaciones a partir de lo debatido. Sesión 4: Fin de fiesta ? impresiones - reflexión.   Al finalizar cada ciclo se podrá asistir de forma gratuita con el JOBO  a cualquiera de las representaciones o la exposición programada en ese momento.     Más información";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d79d84b454366810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD";"Fernán Gómez Centro Cultural de la Villa";"1,6";"PLAZA";"COLON";"4";"SALAMANCA";"RECOLETOS";"28001";"441476";"4475151";"40.424926347610764";"-3.6899208519663427";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Familias";
11942100;"Aguas subterráneas";"";"1";"0";"";"";"2023-03-23 00:00:00.0";"2023-03-23 23:59:00.0";"18:30";"Por Juan María Fornés Azcoiti, del Instituto Geológico y Minero de España";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3e8e0c7635e76810VgnVCM1000001d4a900aRCRD";"Conferencias sobre ciencia";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=619d0c7635e76810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=69188899fc81c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Valdebernardo (Vicálvaro)";"1";"BULEVAR";"INDALECIO PRIETO";"21";"VICALVARO";"CASCO H.VICALVARO";"28032";"447278";"4472321";"40.39982891410407";"-3.621281890570377";"/contenido/actividades/DanzaBaile";"";
